nome,sistema,taxa_anual
APE POUPEX,SAC,0.17989999999999998
APE POUPEX,SAC_TR,0.1166
BANCO BARI S.A.,SAC_IPCA,0.1668
BANCO BARI S.A.,SAC_TR,0.0799
BANCO INTER,SAC_TR,0.12240000000000001
BANCO SEMEAR,SAC_IPCA,0.09380000000000001
BANCO SICOOB S.A.,SAC_TR,0.11259999999999999
BARI CIA HIPOTECÃRIA,SAC_IPCA,0.168
BCO BRADESCO S.A.,SAC_TR,0.129
BCO COOPERATIVO SICREDI S.A.,SAC_TR,0.1186
BCO DAYCOVAL S.A,SAC_IPCA,0.15560000000000002
BCO DO BRASIL S.A.,SAC_IPCA,0.0747
BCO DO BRASIL S.A.,SAC_TR,0.1499
BCO DO EST. DE SE S.A.,SAC_TR,0.1094
BCO DO ESTADO DO RS S.A.,SAC_TR,0.1008
BCO LUSO BRASILEIRO S.A.,SAC_IPCA,0.10949999999999999
BCO RODOBENS S.A.,SAC_IPCA,0.048499999999999995
BCO SANTANDER (BRASIL) S.A.,SAC,0.162
BCO SANTANDER (BRASIL) S.A.,SAC_TR,0.1344
CAIXA ECONOMICA FEDERAL,SAC,0.1091
CAIXA ECONOMICA FEDERAL,SAC_TR,0.11230000000000001
ITAÃ UNIBANCO S.A.,SAC_TR,0.1247
OXY CH,SAC_IPCA,0.1663
