data,ipca
2024-07,0.38
2024-08,-0.02
2024-09,0.44
2024-10,0.56
2024-11,0.39
2024-12,0.52
2025-01,0.16
2025-02,1.31
2025-03,0.56
2025-04,0.43
2025-05,0.26
2025-06,0.24
2025-07,0.24
2025-08,0.24
2025-09,0.24
2025-10,0.24
2025-11,0.24
2025-12,0.24
2026-01,0.24
2026-02,0.24
2026-03,0.24
2026-04,0.24
2026-05,0.24
2026-06,0.24
2026-07,0.24
2026-08,0.24
2026-09,0.24
2026-10,0.24
2026-11,0.24
2026-12,0.24
2027-01,0.24
2027-02,0.24
2027-03,0.24
2027-04,0.24
2027-05,0.24
2027-06,0.24
2027-07,0.24
2027-08,0.24
2027-09,0.24
2027-10,0.24
2027-11,0.24
2027-12,0.24
2028-01,0.24
2028-02,0.24
2028-03,0.24
2028-04,0.24
2028-05,0.24
2028-06,0.24
2028-07,0.24
2028-08,0.24
2028-09,0.24
2028-10,0.24
2028-11,0.24
2028-12,0.24
2029-01,0.24
2029-02,0.24
2029-03,0.24
2029-04,0.24
2029-05,0.24
2029-06,0.24
2029-07,0.24
2029-08,0.24
2029-09,0.24
2029-10,0.24
2029-11,0.24
2029-12,0.24
2030-01,0.24
2030-02,0.24
2030-03,0.24
2030-04,0.24
2030-05,0.24
2030-06,0.24
2030-07,0.24
2030-08,0.24
2030-09,0.24
2030-10,0.24
2030-11,0.24
2030-12,0.24
2031-01,0.24
2031-02,0.24
2031-03,0.24
2031-04,0.24
2031-05,0.24
2031-06,0.24
2031-07,0.24
2031-08,0.24
2031-09,0.24
2031-10,0.24
2031-11,0.24
2031-12,0.24
2032-01,0.24
2032-02,0.24
2032-03,0.24
2032-04,0.24
2032-05,0.24
2032-06,0.24
2032-07,0.24
2032-08,0.24
2032-09,0.24
2032-10,0.24
2032-11,0.24
2032-12,0.24
2033-01,0.24
2033-02,0.24
2033-03,0.24
2033-04,0.24
2033-05,0.24
2033-06,0.24
2033-07,0.24
2033-08,0.24
2033-09,0.24
2033-10,0.24
2033-11,0.24
2033-12,0.24
2034-01,0.24
2034-02,0.24
2034-03,0.24
2034-04,0.24
2034-05,0.24
2034-06,0.24
2034-07,0.24
2034-08,0.24
2034-09,0.24
2034-10,0.24
2034-11,0.24
2034-12,0.24
2035-01,0.24
2035-02,0.24
2035-03,0.24
2035-04,0.24
2035-05,0.24
2035-06,0.24
2035-07,0.24
2035-08,0.24
2035-09,0.24
2035-10,0.24
2035-11,0.24
2035-12,0.24
2036-01,0.24
2036-02,0.24
2036-03,0.24
2036-04,0.24
2036-05,0.24
2036-06,0.24
2036-07,0.24
2036-08,0.24
2036-09,0.24
2036-10,0.24
2036-11,0.24
2036-12,0.24
2037-01,0.24
2037-02,0.24
2037-03,0.24
2037-04,0.24
2037-05,0.24
2037-06,0.24
2037-07,0.24
2037-08,0.24
2037-09,0.24
2037-10,0.24
2037-11,0.24
2037-12,0.24
2038-01,0.24
2038-02,0.24
2038-03,0.24
2038-04,0.24
2038-05,0.24
2038-06,0.24
2038-07,0.24
2038-08,0.24
2038-09,0.24
2038-10,0.24
2038-11,0.24
2038-12,0.24
2039-01,0.24
2039-02,0.24
2039-03,0.24
2039-04,0.24
2039-05,0.24
2039-06,0.24
2039-07,0.24
2039-08,0.24
2039-09,0.24
2039-10,0.24
2039-11,0.24
2039-12,0.24
2040-01,0.24
2040-02,0.24
2040-03,0.24
2040-04,0.24
2040-05,0.24
2040-06,0.24
2040-07,0.24
2040-08,0.24
2040-09,0.24
2040-10,0.24
2040-11,0.24
2040-12,0.24
2041-01,0.24
2041-02,0.24
2041-03,0.24
2041-04,0.24
2041-05,0.24
