data;ipca
01/2024;0.5
02/2024;0.5
03/2024;0.5
04/2024;0.5
05/2024;0.5
06/2024;0.5
07/2024;0.5
08/2024;0.5
09/2024;0.5
10/2024;0.5
11/2024;0.5
12/2024;0.5
01/2025;0.5
02/2025;0.5
03/2025;0.5
04/2025;0.5
05/2025;0.5
06/2025;0.5
07/2025;0.5
08/2025;0.5
09/2025;0.5
10/2025;0.5
11/2025;0.5
12/2025;0.5
01/2026;0.5
02/2026;0.5
03/2026;0.5
04/2026;0.5
05/2026;0.5
06/2026;0.5
07/2026;0.5
08/2026;0.5
09/2026;0.5
10/2026;0.5
11/2026;0.5
12/2026;0.5
01/2027;0.5
02/2027;0.5
03/2027;0.5
04/2027;0.5
05/2027;0.5
06/2027;0.5
07/2027;0.5
08/2027;0.5
09/2027;0.5
10/2027;0.5
11/2027;0.5
12/2027;0.5
01/2028;0.5
02/2028;0.5
03/2028;0.5
04/2028;0.5
05/2028;0.5
06/2028;0.5
07/2028;0.5
08/2028;0.5
09/2028;0.5
10/2028;0.5
11/2028;0.5
12/2028;0.5
