Posicao;Segmento;Modalidade;InstituicaoFinanceira;TaxaJurosAoMes;TaxaJurosAoAno
1;Pessoa Física;Financiamento imobiliário com taxas de mercado - Pós-fixado referenciado em TR;BANCO BARI S.A.;0,64;7,99
2;Pessoa Física;Financiamento imobiliário com taxas de mercado - Pós-fixado referenciado em TR;BCO DO ESTADO DO RS S.A.;0,80;10,08
3;Pessoa Física;Financiamento imobiliário com taxas de mercado - Pós-fixado referenciado em TR;BCO DO EST. DE SE S.A.;0,87;10,94
4;Pessoa Física;Financiamento imobiliário com taxas de mercado - Pós-fixado referenciado em TR;CAIXA ECONOMICA FEDERAL;0,89;11,23
5;Pessoa Física;Financiamento imobiliário com taxas de mercado - Pós-fixado referenciado em TR;BANCO SICOOB S.A.;0,89;11,26
6;Pessoa Física;Financiamento imobiliário com taxas de mercado - Pós-fixado referenciado em TR;APE POUPEX;0,92;11,66
7;Pessoa Física;Financiamento imobiliário com taxas de mercado - Pós-fixado referenciado em TR;BCO COOPERATIVO SICREDI S.A.;0,94;11,86
8;Pessoa Física;Financiamento imobiliário com taxas de mercado - Pós-fixado referenciado em TR;BANCO INTER;0,97;12,24
9;Pessoa Física;Financiamento imobiliário com taxas de mercado - Pós-fixado referenciado em TR;ITAÚ UNIBANCO S.A.;0,98;12,47
10;Pessoa Física;Financiamento imobiliário com taxas de mercado - Pós-fixado referenciado em TR;BCO BRADESCO S.A.;1,02;12,90
11;Pessoa Física;Financiamento imobiliário com taxas de mercado - Pós-fixado referenciado em TR;BCO SANTANDER (BRASIL) S.A.;1,06;13,44
12;Pessoa Física;Financiamento imobiliário com taxas de mercado - Pós-fixado referenciado em TR;BCO DO BRASIL S.A.;1,17;14,99
