nome,sistema,taxa_anual
CAIXA ECONOMICA FEDERAL,SAC,0.0484
BCO RODOBENS S.A.,SAC,0.048499999999999995
BCO DO BRASIL S.A.,SAC,0.0747
BANCO BARI S.A.,SAC,0.0799
BANCO SEMEAR,SAC,0.09380000000000001
BANCO INTER,SAC,0.0944
BANCO SICOOB S.A.,SAC,0.09970000000000001
BCO DO ESTADO DO RS S.A.,SAC,0.1002
BCO DO EST. DO PA S.A.,SAC,0.1009
BCO COOPERATIVO SICREDI S.A.,SAC,0.1023
BCO DO EST. DE SE S.A.,SAC,0.1039
APE POUPEX,SAC,0.1059
BRB - BCO DE BRASILIA S.A.,SAC,0.10890000000000001
BCO LUSO BRASILEIRO S.A.,SAC,0.10949999999999999
ITAÚ UNIBANCO S.A.,SAC,0.1112
BCO SANTANDER (BRASIL) S.A.,SAC,0.1251
BCO BRADESCO S.A.,SAC,0.126
BCO DAYCOVAL S.A,SAC,0.15560000000000002
OXY CH,SAC,0.1663
BARI CIA HIPOTECÁRIA,SAC,0.168
